property name ,Room Price (in BDT or any other currency),review_count,Comment about room
436. Novotel Jumeirah Village Triangle," 9,693",181,Amazing service
437. Tulip Hotel Apartments," 6,025",277,"location in Bur Dubai which is convenient for Indians, close to the BurJuman mall and also 20 min from the airport. The rooms given were also good in terms of space…"
438. Excelsior Hotel Downtown Dubai," 4,846",715,... doing the necessary arrangements for my frnds birthday including late checkout and all assistance god bless
439. Landmark Hotel Baniyas," 3,686",197,diffrent room saying hotel is full as i entered the room it was good but the  washroom was in horrible condition dirty and too small shower broken and stinky i called...
440. Sonder Business Bay," 13,780",28,however the balcony was smaller compared to the 2bedroom apartment.
441. Fortune Deira Hotel," 3,729",110,"location of Dubai. You can enjoy the hustle and bustle of people's day to day lives, and also take in the serene beauty of Dubai Creek not very far from the hotel. The…"
442. Lotus Grand Hotel," 5,323",42,
443. Smana Hotel Al Raffa," 3,527",141,Thank you for
444. Maisan Hotel," 5,898",41,"Expo. 

Very good customer service security guard reception and restaurant thank you to Ahmed and Serafim for welcoming us. 

Breakfast was nice but only ala..."
445. Royal Tulip Hotel," 5,994",65,"prepayment by card went well. The room was clean and comfortable. Some middle-sized shops and restaurants/cafés are nearby. The WiFi worked fine.

Due to the lack of…"
446. Saffron Hotel," 4,001",113,"reception by Mr. Smith and Ms. Lissa.
The housekeeping staff was also kind and helpful.
The engineering staff was in his own world, He  never even listened to my concern..."
447. Hotel Florida International," 7,684",26,"we wanted some cold drinks. 

We show this restaurant and went in, I must say customer service was really good here. We only had some cold drinks tho. 
Staff were..."
448. DAMAC Maison Cour Jardin," 11,641",818,"nice, everything you imagine you can found it in your room especially the kitchen , also the view is awesome, Staff here are very nice people ( Tirtha, Jiniah, Ali, Ch..."
449. Pearl Swiss Hotel," 4,055",10,"could be cleaner, especially the windows and the mirror, but bedsheets were clean)."
450. Orchid Hotel," 7,725",115,staff was cooperative. Good massage center at the 7th floor. Many entertainment clubs are on the mezzanine floor. Near to Dubai metro station. Bit expensive as…
451. Ascott Park Place Dubai," 31,982",613,had an amazing skyline view of sheikh zayed road.
452. Somewhere Apartment Hotel," 25,625",289,Ideal location and
"453. La Ville Hotel & Suites CITY WALK Dubai, Autograph Collection"," 28,096",518,"Thanks to all of the front desk staff for making us feel welcome in our stay, and our housekeeper John for always"
454. Royal Club Palm Jumeirah," 31,916",71,"smelling nice, aircon malfunction, and it was immediately changed. good view. Sun at the pool from around 11:30. The morning buffet was very nice. A fairly good deal..."
455. Five Jumeirah Village Dubai," 12,311","4,102",Team in concierge service was really so helpful and amazing specially Ajinkya was really super friendly and make our family stay wonderful
456. Al Jaddaf Rotana Suite Hotel," 16,313",565,are magnificent timo restaurant wow dishes there fantastic service as well staff very kind and helpful especial thanks for Salem from reception as he was very passio...
457. Studio One Hotel," 9,597",713,Wow it’s amazing hotel I love all the staff at reception divine Younes Hnin eky Mohamed are so amazing and friendly upon
458. Donatello Hotel," 13,303",657,surest is a great buttress at the sevices in the restaurant and also we love enjoy our trip here in Dubai thanks for letting me know this place my friend vicky
"459. Park Apartments Dubai, an Edge by Rotana Hotel"," 13,316",370,They upgraded
460. Studio M  Al Barsha," 5,828",252,Had a wonderful stay The staff is so helpful and cooperative The room is spacious Parking is also available Good restaurants around Walking distance to Mall of the
461. Arjaan - Dubai Media City," 16,715","1,325","I can’t describe how much the staff are amazing, and so friendly"
462. MD Hotel," 8,212",857,"literally everything was amazing… I was seeing the great  from other guests and the rating was high always and was kind of suspecting it, but literally it worths"
463. Edge Creekside Hotel," 7,460",247,"Good hotel, good staff, delicious food, near good shop food and clothes, good climate control in hotel, 10 minutes"
464. Aloft Dubai Airport," 6,390",217,I had very friendly service
465. Chelsea Plaza Hotel," 5,157",453,"He took care of my every need from slippers, phone charger"
466. Signature 1 Hotel Barsha Heights," 7,003",363,Hello  I would love to share my experience highly recommend this
467. S19 Hotel-AL Jaddaf," 9,395",8,
468. Moscow Hotel," 8,318",216,"is , when u sit in lobby at night especially, the security guy irritates ppl and stressed them to leave the lobby and go to your rooms which is the worst behaviour..."
469. Rose Garden Hotel Apartments," 5,941",371,A small pool for a quick dip Good
470. Aloft Dubai South," 5,283",59,it was the best experience
471. Sitara Hotel Apartment," 9,755",3,my family -- it was a fabulous experience for me. I enjoyed every bit in Sitara and always felt at home. Each and every member of their staff treats you with utmost...
472. Baity Hotel Apartments," 6,726",58,"clean rooms good service , good breakfast well equipped pool and gymnasium. best parking , lot of space and , family friendly, 1 bhk and 2 bhk apartments and kitchen."
473. West Zone Plaza Hotel Apartments," 9,803",678,"washing machine 
Refrigerator
Stove
Microwave
Toaster
Kettle 
Utensils
Iron with iron stand
Clothes drying stand
Balconies with some rooms with outdoor..."
474. Akas-Inn Hotel Apartment," 4,349",177,originally supposed to be going to Abu Dhabi but due to restriction changes headed to Dubai instead. We arrived at around 3:30am and the staff were helpful loading our...
475. Phoenicia Hotel," 5,772",28,average and small but clean. Booked this for a stopover from a business trip as I need to freshen up and prepare for another meeting nearby. Good thing the locations is...
476. LEGOLAND Hotel - Dubai," 31,355",5,"every bit of the hotel specially the exciting activities planned during the day, meeting different Lego characters and the waterpark. We just hope that the…"
477. Bed Space For Females Near Metro Station," 2,090",1 review,"Flat.

30 sec Walking Distance from Burjuman metro station.

Neat and Clean.

Upper bed  available
Lower bed available 
Single Bed  Available 
Come first..."
478. Al Marsa," 4,830",2,"did not drain from the sink.  There is no bedside table.  The view is nice, but the rooms are very loud, from the sounds of traffic filtering in. Strange smells in..."
479. Florida Hotel Dubai," 6,957",11,"is located in the area of lots of businesses. If you are in Deira city for a business, you can try this hotel. Most guests are from Africa, and their staff are aware..."
480. Grand Sina Hotel," 5,477",15,"more insects are there. Ok to stay as bachelors. Located right behind sabkha bus station, easy accessibility to metro, taxi's, near by airport etc. Little noisy..."
511. Rose Garden Hotel Apartments – Al Barsha," 20,482",354,"great, the breakfast is nice and the rooms are clean, you can also have a kitchen which is ideal for longer stays. The staff are also very friendly and helpful."
512. Park Inn by Radisson Dubai Motor City," 9,629",695,"at the rooftop overlooking to Dubai autodrome race track, breakfast was good and the reception team are all good and flexible, thanks to Ibrahim for offering excel..."
513. Aparthotel Adagio Premium Dubai Al Barsha," 9,823",874,room service
514. City Seasons Suites," 13,048",94,Everything went well from the quick
515. Fortune Grand Hotel," 5,515",352,worthy it and the staff and service were all good!
516. Xclusive Hotel Apartments," 6,671",521,"Near to Karama, Easy to reach and traval dubai, 
Neat Room service Thanks to Mr. Sohan.
Faced a water issue taken 5 days time to resolve and address it, is that…"
517. Monaco Hotel," 23,165",47,"equipment, but good enough for a short stay. 
As a four star hotel it has everything you need and it is clean, balcony available… However need guest services to be…"
518. TIME Asma Hotel," 7,574",65,He is like a walking
519. Rolla Residence," 6,011",178,"facility etc., Food quality is standard and quick service."
520. Astoria Hotel," 4,182",217,service is good. breakfast is ok. location is perfect. shopping is all walkable. metro stations walkable. cabs easily available. veg and many restaurant options...
521. Mena ApartHotel Al Barsha," 7,443",158,"hospitality provided was awesome. Thanks to Mr. Syed who make the trip memorible with this  friendly behavior and assistance. Nice aparthotel ho cost with family. 

Thanks..."
522. Landmark Hotel Riqqa," 4,965",339,Location is perfect. Very convenient to walk to nearby restaurants. Room service can improve. Needs many reminders for a request. Room has kettle for in room tea prep
523. Landmark Summit Hotel," 4,038",197,"though some issues on room staff's are helpful and there to fixed immidiately., specially Ms. Hena from reception shes attentive and accomodating..the"
524. Al Khaleej Palace Deira Hotel," 3,577",87,Thank you for all staff really the hotel very
525. Panorama Deira Hotel," 3,059",145,"stayed in this hotel for 9 nights from 18 August to 27 August.

Great location nearby union metro. Cheap restaurants are throw away distance. There are many grocery..."
526. Tulip Al Barsha Hotel Apartment," 6,220",29,
527. SKAF Hotels," 11,951",84,hospitable staff .  Only the late hour club music  disturbed my night rest Otherwise the rest was really great and the amenities present as stated on the  trip advisor.
528. Grand Kingsgate Waterfront," 7,111",28,"... you so much for the good hospitality and well behaving staff, They have very nice Executive Room with Living Area, for small family, if you really want"
529. Adagio Jumeirah Village Triangle," 12,011",33,
530. Gulf Oasis Hotel Apartments," 9,956",146,"friendly.He made our stay memorable.
The staff are very helpful & the housekeeping did an amazing job,rooms are clean ,thank's to Vikash who helped us settle in the room..."
531. Better Living Hotel Apartments," 4,631",104,"As for the hotel, check in was fine, rooms are clean, but the house keepers should"
532. Home Away Holiday Homes," 8,744",11,
533. Ink Hotel," 11,002",14,Waterfront.
534. Azur Regency," 8,471",4,"apartments...
the workers Rupesh,kishan,sankalpa,sriman,ajay,ganesh are tooo good , they are very polite and respectfull in interacting.
These guys are totally..."
535. Icon Hotel Apartments," 4,495",66,"not too bad for size however poor facility as some of the socket not functional and broken, microwave oven not working we  request a replacement, no information on…"
536. Skylark Hotel Apartments," 11,086",8,"arrival we have been accommodated in a studik with windows  only even in the picture appears that all studio have balcony.
Personnel at reception are professional.
I..."
537. Armada Living Holiday Homes Rental," 9,237",2,serious maintenance. Cockroaches in the kitchen and rooms. Area also not great for families as nothing to do. Room facilities including the furniture are very tired…
538. Sutchi Hotel," 21,953",5,"that I printed. He asked for a colored printed copy of my ID. So, as per his instruction I when to the nearest copy shop which I think 250 meter-walk away from the..."
539. Al Karnak Hotel," 10,457",1 review,"Souq , got Night for 35 US $ , consisting of 5 floors , staff are helpful , room size is ok , many restaurants and cafeterias in surroundings , bed comfortable"
540. Asiana Suites," 9,062",1 review,and was rudely asked for my room number outside the hotel by the security as if I was of a questionable character. Once inside I complained to the manager and he and...
541. Golden Sands Hotel Creek," 13,733",139,"We felt the difference from the entry point at Reception, Warm welcome, supporting smiling staff, beautiful clean & quiet"
542. Cosmopolitan Hotel," 19,804","2,173","so many different choices and they were all tasty,Ramadan Vibes, The service was great and the waiters were very respectful I recommend it strongly to visit?"
543. Arabian Dreams Hotel Apartments," 16,715",369,
544. Deira Suites Hotel Apartment," 16,196",57,"and big hall, very clean, comfortable , the kitchen is big with all required dishes and appliances. Reception was very helpful,  location of the hotel is great and..."
545. Citadines Culture Village Dubai," 8,598",64,Perfect place to stay! Everything about this hotel
546. Hues Boutique Hotel," 5,212",484,", but the service isn’t good at all the food was good 
Internet access was down for hours and it prevented me from doing my work so I was dissatisfied with it"
547. Rose Executive Hotel DWTC," 9,177",45,... there very welcomed and cheerful specially SHAHUL he was very helpful he manage to
548. City Stay Prime Hotel Apartment," 8,740",68,"My family and i stayed last week and everything was so amazing, the room is so big and clean, the kitchen is well equipped"
549. Pearl City Suites," 11,301",265,"hour for our room to be available. And when it was given to us, the floor is still wet. There is barely an AC. There are flies inside the rooms. The wifi is almost…"
550. Landmark Premier Hotel," 4,484",25,"also well mannered. The staff Abin thomas at the reception had a friendly approach and helped us throughout the stay.
Good hotel for a short stay for this rate."
551. Samaya Hotel Deira," 6,426",249,"stay at the Cornish. Few meter to the gulf and you can take a very cheep boat  to the old town (less than one dollar)
The hotel is clean, calm and well arranged
Be..."
552. Al Jawhara Hotel Apartment," 6,588",52,family trip very happy and really we will come back Again witll recommend friends and family and breakfast was good and staff also friendly and check in was smoothly and...
553. Moon Valley Hotel Apartments," 6,448",118,"reasonable and decent  accommodation, Moon Valley Apartments would be an ideal place. 

Within 5 mins walk, you can reach Burjuman Metro Station which connects major part…"
554. Damac Hills 2 Hotel Edge by Rotana," 4,482",4,"one night stay was very good , the hotel"
555. Carlton Dubai Creek Hotel," 9,295",11,"beautiful view, 
the room is  clean and they have nice  staffs which is give me good service when I was staying here  ,, their coffeeshop is wonderful and they give me..."
556. Park Regis Boutique," 19,085",1 review,"EXECEPTIONAL SERVICE BY RECEPTION STAFF NAVEEN WONT BE FORGOTTEN. THANJ YOU NAVEEN

In short I was on the way to Dubai Airport on a Friday and realized last minute..."
557. Kingsgate Canal Hotel," 4,946",13,are comfortable and cozy. The Pan Asian Cuisine restaurant here is a must-visit. Delicious food and amazing service from the F&B staff. I would recommend this hotel…
558. City Avenue Al Reqqa Hotel," 4,462",14,was not bad but washroom was poorly cleaned and exhaust was not working properly even I informed receptionist several times. Breakfast was very bad and mostly...
559. Unlock Metropolis," 10,197",5,"kitchen.

I would like to thank all your team makes my stay memorable and comfortable.

I will be coming back on next month with family.

Hopefully expecting..."
560. Telal Hotel Apartments," 7,481",7,both really liked it. One point I would like to mention is that it is known locally as Telal Hotel. We told our taxi driver "Capital O 384 Telal hotel" and he was...
561. Time Palace Hotel," 9,833",10,"written about a different hotel.

This hotel is in a great location 1 min walk from the creek,  Abra station and souk. It's also very well priced, and the staff are..."
562. City Palace Hotel," 5,899",1 review,"is up to date and always available.thanks to the reception team for asisting us with good and spacious room.special thanks to Mr.Aveejit,Sneha,Zeeshan,Pramood and..."
563. Unlock Waters Edge," 12,049",1 review,"clearly in advance and it was a pleasant getaway within the city. 

It was a large One Bedroom and had a clear view of the canal. The team was polite and helpful and…"
564. Marina View Deluxe Hotel Apartment," 8,708",2,"comfortable and the location was brilliant. The pool was clean, and our room was also cleaned regularly. The kitchenette had good amenities although it was only…"
565. Hive Hotel," 6,385",3,"clean , toilets are modern , staff are welcoming , the only Cons , that towels were available only @ 19:00 pm because of delay of laundry and available parking is a…"
566. City Stay Grand Hotel Apartments," 5,453",7,
567. J5 Hotels - Port Saeed," 7,777",3,Especially Savito at the Reception. He makes sure that you get everything you need and it feels so nice knowing that your needs will be fully met. The rooms are well...
568. Vendome Palace Hotel by Aravi," 8,726",19,"ocean with beautiful view.
But the main problem was a little bit noisy in our room.
I don't like this hotel at all.
It wasn't comfortable and quiet room"
569. Montreal Naif Hotel," 4,037",10,"located hotels in Dubai, so we did not expect much. We knew we would arrive around 1:30 am and leave around 8:00 am, so it would have been pointless to go for anything..."
570. Trans World Hotel," 4,130",3,"120 Dirhams including taxes. Some insects in my room, very old hotel few amenities. In fact you can stay here, it's not a bad option if you only need a room."
571. Tulip Creek Hotel Apartments," 6,075",166,"entrance is amazing but when u get inside the room I duno it is my bad luck or it is a normal thing in the place, the curtain was unfixed and I called them for it..."
572. OYO 367 Eureka Hotel," 3,854",210,"budget but, should not expect more. In terms of location, it's 10-15 minutes walk from al rigga metro station and close to the busy and lively streets of al rigga..."
573. Mayfair Hotel," 4,435",195,"rooms, beds ok. In our room ac was somekind of broke & room was really cold. We get extrablanket and that was ok to us :) Breakfast was good, something for everyone..."
574. Welcome Hotel Apartment 1," 5,708",144,"bathroom looked tired and needed to be replaced . The kitchen was small but had everything you needed including a washing machine again needed updating ! 

The best…"
575. Dorus Hotel," 4,483",115,"room. Quick checking 
Good budget Hotel but ain’t 4 stars
Poorly maintained 
What do you need in hotel room first of all is a comfy bed to sleep in! Well... the bed..."
576. Kingsgate Hotel Al Jadaf," 6,729",2,
"577. Kingsgate Al Jadaf - By Millennium, Dubai"," 4,069",7,"needs to invest more in the staff's trainings, they can do better.
Taxis are available , the area is brand new and full of hotels near to Festival city."
578. Royal Falcon Hotel," 3,892",149,"Everything was almost fine , facilities were in good"
579. EasyHotel Jebel Ali," 3,964",110,"corridors, lift landing are perfectly clean as well the location whereby it’s nearby a metro station which simplifies means of transport. The  bed was a bit comfortable..."
580. Sun And Sands Downtown Hotel," 3,877",119,"is great being near to union metro station; also with al ghurair mall and most fast food outlets ;

Upon arrival; the entrance had a note of being under renovation..."
581. HE Hotel Apartments," 9,103",10,"‘abdelnassir’ has no structure/routine when it comes to checking/changing charcoal. He will check on you when he is not busy on his Phone, especially,  if only few people in…"
582. Manhattan Avenue Hotel," 9,766",26,"in this Hotel including Picup. Booked hotel thru"" online three rooms, receptionist allotted rooms in 5th Floor. since it was on weekend tariff were quiet high though..."
583. Africana Hotel," 3,461",54,"fine one night crash
By the Union metro
You can go anywhere from here
Don’t expect much for 100aed
Decent... still
Get a single room
There are TWO available..."
584. West Hotel," 4,742",33,a disappointing experience. Our 1st room was very dirty and smelly with a broken window. After a long conversation with the reception we changed room. This was...
585. Mariana Hotel," 3,908",14,"business place in Deira from where everything is just closer then enough, shopping lovers can prefer this hotel for sure, hotel is situated just next to Al Sabhka Bus..."
586. Zain International Hotel," 3,884",70,"are ok and food was fine but there is a huge scope of improvement. The hotel should me more customer centric. 

If it improves its service quality, this could be a..."
587. Downtown Hotel," 3,596",10,not so many tourists. The hotel is "low cost" type and not really cosy. On the other hand it's chill out place where you can spend the night for reasonable price...
588. Mount Sina Hotel," 9,339",2,"furniture quite outdated but you get price of one Night as low as 45 US @, double room , many eateries in surroundings .
Rooms are spacious  Try to choose upper…"
589. Oriental Corner Hotel Apartments," 5,486",1 review,"dirty rooms, we found rats and insects in it and very bad stuff and Worst hotel service I stay with my family long stay we found rats inside rooms even we changed we..."
590. New Black Stone Hotel," 6,142",90,"up as a 4 star i beg to differ.  The hotel is an average 3 star. Rooms Clean, Big and modern.  Cleaning service A star, but if you are planning to stay out most of..."
591. Royal Plaza Hotel Apartments," 23,738",13,really on a budget and family trip. The place could do with a little uplift and a bit more of hygiene. On arrival we were given an apartment that really left us…
592. Wescott Hotel," 5,181",4,"Ghubaiba. value for money, they provide buffet food for the guest. Check in process is very bad. It would take you 30-45 mins before you can be given the key."
593. New Penninsula Hotel," 7,406",55,"breakfast. the hotel property seems very nice and room are quite spacious but had some issue with the A/C not working properly( very hot in dubai )
quite respectful..."
594. Oyo 165 San Marco Hotel," 5,809",1 review,at around 1 am. We are surprised that there is no complimentary coffee or kettle or at least a small bottle of water which other hotels are usually providing. AC was...
595. GSS Palace Hotel," 4,314",1 review,
596. Gulf Inn Hotel Deira," 4,757",2,didn’t sleep the entire night. People partying/ loud music and the walls are vibrating because of the amplifier/speaker they have. I can’t even describe the feeling…
597. Warsan Star Residence," 5,115",1 review,bad I'm stay there 2 days but no one helpful even they won't give us water when I ask water from room they told come down  please and every person with out mask...
598. Burj Nahar Hotel," 4,334",1 review,"small street , next to Dorus Hotel , consists of only 3 floors , difficult to find Parking is surroundings , room furniture outdated and Bed sleep quality NOT good..."
599. 29 Boulevard Tower Ease By Emaar," 13,898",1 review,"301 It was our worst experience

Sofa & beds were saggy gave severe back pain, old had bugs,  in them that bit our bodies caused red rashes. 

Kitchen utensils were..."
600. OYO 912 Tanha Hotel," 6,615",1 review,
601. Premier Inn Dubai Dragon Mart Hotel," 5,143",628,It’s amazing stay in dragon mart primer inn hotel nice
602. Westminster Dubai Mall," 36,433",12,Westminster Holiday the name of the hotel to advertise for it I thought it was within the group of Emaar It is a fraudulent company and one of the worst companies in the...
603. York International Hotel," 8,802",352,"multiple times since 2013.  The main reason for this was location, followed by budget.  The location, for what I want to do in Dubai, is literally second to none…"
604. Signature Inn Deira," 2,594",59,"going back 
This one needs a total re modeling 
Musky smell all around 
The beds and towels must be replaced 
Make over the toilet area the priority…"
605. Broadway Hotel," 18,817",46,"budget but, should not expect more. In terms of location, it's 15-20 minutes walk from al rigga metro station and close to the busy and lively streets of al rigga..."
606. Queen's Hotel," 4,690",100,"Naif Sabkha streets , room size average but bit noisy even after closing windows . Hotel needs refurbishment . Many restaurants and cafeterias in the surroundings ."
607. Sadaf Delmon Hotel," 5,775",179,concern is the smell of the carpets it should be well cleaned .plus the security and the reception desk staff everytime they asked if we are in-guest or visitors…
608. Hafez Hotel Apartment," 2,519",41,properly with hotel management. I will not prefer to advise stay here. oyo sales and operations team are not coordinating each others. Billing vouchers and payment...
609. Raintree Rolla Hotel," 2,505",220,"and many other place. Rooms also spacious, food quality is moderate but bad smell in every place including rooms / dirty washrooms. Hotel is not far to the Airport."
610. Gulf Star Hotel," 3,490",28,"service is available 24h. Poor hygiene and the equipments are old or broken. Good location, close to the tube, red and green lines. The souk is not far too. A lot of..."
611. Aravi Hotel," 7,505",23,website. Staff were helpful and understanding. Its a noisy place and you could hear the music noise till late in the morning and had very disturbed sleep. Rooms are ok...
612. Royalton Hotel," 3,236",63,close to Union Metro Station and another 5KM from Dubai International Airport. The receptionist is not friendly and they hold your passport in the counter if you didn't...
613. Edens Dubai FIVE Residences," 68,829",0,
614. Abjar Grand Hotel," 7,077",99,"from my experience I don't recommended this hotel.........
I had visited Dubai during the pandemic.
The internet is too slow and 
The breakfast is worst (,they serve..."
615. Phoenix Hotel," 4,246",56,"it was not good.
Quality of rooms toilets and everything was bad except food,food was good but it doesnt have different kinds of food just 4,5 kind, finally i dont..."
616. The Grand Blue Sky Hotel," 3,122",0,
617. Stay by Al Ghurair Holiday Homes - Address Dubai Marina Residence," 24,146",0,
618. HiGuests - JAM Marina Residence," 22,563",0,
619. Sky Nest Holiday Homes Tiger Dubai Marina," 26,362",0,
620. Grand Nova Hotel," 7,044",5,"location, other than that everything is bad and ugly. Breakfast starts at 08:30 by which time if you are visiting for work you will miss having breakfast. The rooms are..."
621. Concorde Palace Hotel," 6,066",0,
622. Home Away Dubai Apartments-Tamcon-DIP," 6,474",0,
623. Samaya Hotel Apartment Dubai," 12,636",3,"a managerial level , doesn’t know any thing about hospitality.  Called him to inquire about the 1 year rates buy it seems that he doesn’t know how to talk to…"
624. Yanjoon Holiday Homes - Standpoint Tower," 21,489",0,
625. Belle Vue Building," 6,855",0,
626. Vista Square Hotel," 3,580",3,"place to stay, not cheap, not well located, do not worst more than 10€ for me. Nothing works. Horribles beds. Never came here. I use it just for a scale on mu trip..."
627. Sun and Sand Plaza Hotel," 4,423",0,
628. COZY MAG318 by Bespoke Residence," 12,516",0,
629. City Stay Premium Hotel Apartments," 5,253",2,It did not remotely match the description on Booking.com . It was overpriced and non refundable. The checkin process took nearly 30 mins. We were not told where…
630. Staycae Merano," 8,899",0,
631. Livein Holiday Homes," 145,518",0,
632. Jumeirah Gate 2," 38,560",0,
633. Mag 218 Tower," 36,142",0,
634. Simba Hotel," 11,009",0,
635. Vista Hotel Apartments Deluxe," 6,444",0,
636. Maison Privee - Marina Gate 2," 24,440",0,
637. MRA Hotel," 3,428",0,
638. Dubai Hostel Bedspace and Backpackers," 3,098",0,
639. Maison Privee Grandeur Residence," 32,241",0,
640. New Arabian Holiday Homes 8 Boulevard," 20,727",0,
641. Eden's Dubai - Millennium Atria Residences," 40,560",0,
642. Expo Village Serviced Apartments," 10,385",0,
643. DHH - Botanica Tower," 16,288",0,
644. Royal Continental Suites," 13,971",0,
645. Maaeen Hotel," 5,229",0,
646. Movenpick Hotel Jumeirah Village Triangle," 11,659",0,
647. Barsha Star Residence - Home Stay," 5,115",0,
648. Vista City Hotel," 7,351",0,
649. Tehran Hotel," 10,138",0,
650. Driven Holiday Homes Limestone House," 25,237",0,
651. OYO 177 Al Ammari Hotel," 3,281",0,
652. HiGuests Vacation Homes-Marina Quays," 26,701",0,
653. Grand Marino Hotel," 4,832",0,
654. Staycae Tower 108," 13,868",0,
655. Radisson Hotel Dubai DAMAC Hills," 8,610",0,
656. OYO 329 Down Town Hotel," 3,479",0,
657. BOONMAX Hotel," 3,297",0,
658. Nasma Luxury Stays," 18,832",0,
659. West Zone Pearl Hotel Apartment," 5,489",0,
660. K11 Chinese Business Hotel," 5,643",0,
AVANI Deira Dubai Hotel,,"2,869","... and big thanks to (mrs Dericel ) , (mr deep )who always comes any time of the day"
The Country Club Hotel,,658,"metro station nearby. Loved the size of the rooms and were very comfortable also. Room service and Breakfast was very nice.

Nidhi, the girl on the front deskof…"
Abidos Hotel Apartment,,648,"Great location, easily 10 mins walking distance to Mall of Emirates. Great service from staff and the room was good, with strong/consistent AC.

Only couple of…"
Delta Hotel by Marriott Dubai Investment Park,,49,... staff members from the security staff to the Concierge I can’t emphasize how Merna and the day and night managers where helpful
Beit Al Bahar,,80,some good and some not so good. The lovely thing about BAB and the wider Jumeirah team is that they have tried to keep that level of service and personalisation intact...
Jood Palace Hotel Dubai,,892,"full with everything and very welcoming.. we did one of the tours provided by the hotel because we only has 1,5 days in Dubai and we wanted to go to the “must sees..."
Ramada Hotel Dubai,,703,Dubai. Excellent service at reception. Breakfast was great. Bed was VERY comfortable and warm. We arrived very late at night. We were shown our rooms. We enjoyed our…
Winchester Grand Hotel Apartments,,605,"station, includes all the facilities like WiFi, Gym, Washing machine and Microwave along with utensil for cooking .
In the morning, they do provide complimentary..."
DAMAC Maison De Ville Breeze,,220,"balcony overlooking the Burj, big bathrooms, well equipped kitchenextremely clean and family friendly hotel, helpful staff and pleasant and knowledgeable..."
Xclusive Casa Hotel Apartment,,224,"Xclusive Casa Hotel Apartments Bur Dubai Mr Naveed was very cooperative and very much prompt on replying reply over mail and calls too, it was excellent 13 nights (13th..."
Hotel Riu Dubai,,"1,362",Fabulous hotel Great beach Amazing
Sheraton Jumeirah Beach Resort,,"3,389","Had amazing holidays in Sheraton hotel Jumeirah Lovely hotel with one of the best view Amazing personal,and"
Gevora Hotel,,"1,338","order food from outside as well - Excellent and supportive staff - Nicely located pool area, seeing towards burj khalifa and other tall buildings - Thanks Ainur and P..."
Towers Rotana,,"4,681","Good service, polite"
Crowne Plaza Dubai - Deira,,"1,843","employees are friendly and helpful, specially Tara from the lounge in the 6th floor, she is always nice, smiling and very helpful."
Rose Rayhaan By Rotana,,"7,004",I have had a great stay with Rose reyhaan There is Amazing service provision I love it here Good location with a good
FORM Hotel Dubai,,278,"Special thanks to Mr Hassan who was extremely helpful and professional, Marlon in the front, Almas in housekeeping who"
DAMAC Maison Distinction,,979,"We really enjoyed our stay at the hotel, excellent staff and services gave a courteous response and services to every request,"
The Tower Plaza Hotel Dubai,,"3,714","Excellent reception, excellent service, excellent internet , excellent breakfast, cooperative"
DoubleTree by Hilton Hotel and Residences Dubai Al Barsha,,"2,029",delicious breakfast at Bistro 55 kudos to chef Ali.
"Al Seef Heritage Hotel Dubai, Curio Collection by Hilton",,667,"great location of the hotel by the Creek, the concept of the hotel and the heritage of Arabic architectural construction, bars and souvenir shops right next to the hotel"
Four Points by Sheraton Bur Dubai,,"1,294","I would suggest you this property compared to others that i have stay in the area, for this being family friendly, good"
Holiday Inn Dubai - Al Barsha,,"1,706","it was amazing days we had it in the hotel ,everything very good and the staff friendly"
La Quinta by Wyndham Dubai Jumeirah,,197,Every thing was excellent    I am very happy to
Howard Johnson by Wyndham Bur Dubai,,634,"The Restaurant staff were very friendly and accommodating, while the Housekeeping staff, especially my room attendant, made sure that"
DAMAC Maison Mall Street,,"1,048","Receptionist saber and Alyana where great, wonderful hotel, great"
Arabian Ranches Golf Club,,169,
Emirates Concorde,,483,"water facility was not availabe, in the hotel and strangely it was chargeable. The breakfast quality was awesome but it should be included in the package. But overall..."
Emirates Grand Hotel,,"2,026",trying to make things smoother for the guests. They have helped me and the family to make the stay comfortable and attend to my special requests. I acknowledge the...
DAMAC Maison The Vogue,,108,"is great. Great service from all the staff, great facilities including new pool, decent gym with new equipment, steam room and sauna. Nice and close to lots of great..."
Jumeirah Zabeel Saray Royal Residences,,24,
Le Royal Meridien Beach Resort & Spa,,9,We stayed in
Belvedere Court Hotel Apartments,,212,Wanted to take in Dubai sights before leaving the Middle East.  Selected this hotel based on other Trip Advisor very good . My daughter was skeptical because…
Regal Plaza Hotel,,332,coming again and again asking for tip. It is bad for hotel image and will leave bad impression with tourist especially in Expo time. If this does not stop some…
Panorama Grand Hotel,,242,during our work in this area few days. The room was spacious but there are few things one needs to know before booking: the air conditioning system is an old type so you...
Marina View,,64,"separate poll for kids, the restaurant has a very comfortable place for viewing sports events on the projector and last but not least there a free spa and training gym…"
Al Sondos Suites,,116,"with free WiFi, a full set of kitchen equipment, good suits and  good hospitality.
the location of hotel is near the city center and subway also. you can go for..."
Hyatt Regency Hotel Dubai Deira(D),,24,with access to the club lounge. Spotlessly clean and very comfortable. We were looked after by wonderful Florence and her team in the lounge.A relaxed friendly lounge...
Tulip Inn Hotel Apartments-Al Qusais,,86,during my visit ti Gitex dubai. It was near our company in internet city so we were too close to our branch in Dubai. They have a good food in the restuarant. The…
